../../../Engine/Content/MobileResources/HUD/VirtualJoystick_Thumb.uasset, AllOfLoadPackage_Duration=10.348719ms, AllOfLoadPackage_HitCount=2, ResolveRedirectors_Duration=2139.062930ms, ResolveRedirectors_HitCount=2, CacheForCookedPlatformData_Duration=1.514457ms, CacheForCookedPlatformData_HitCount=1, UnsolicitedMarkup_Duration=10.145433ms, UnsolicitedMarkup_HitCount=1, SavePackageCacheForCookedPlatformData_Duration=25.887255ms, SavePackageCacheForCookedPlatformData_HitCount=171, SaveCookedPackage_Duration=2094.143484ms, SaveCookedPackage_HitCount=170, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_37, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBuf9996381D__E54CD24D19312897089D235BF14E633FB9FFF7E0, StartTime=2015.12.07-16.33.42, HierarchicalDDC, DataSize=388886 bytes, Retrieved=true, Duration=12.330313ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_38, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufF40BAAF7__AED2483BBBEC3298927E85AB88D2EAD915F90063, StartTime=2015.12.07-16.33.42, HierarchicalDDC, DataSize=386908 bytes, Retrieved=true, Duration=38.129101ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_39, GetCachedData, CacheKey=Audio_0002_0000_OGG_0001_E5ED6A9142512078DB7A78BD9FE6DA0C, StartTime=2015.12.07-16.33.42, HierarchicalDDC, DataSize=43721 bytes, Retrieved=true, Duration=0.362497ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_40, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufD269F7E6__B14607238995C0FAA8B4D8674404E805FF902184, StartTime=2015.12.07-16.33.42, HierarchicalDDC, DataSize=246415 bytes, Retrieved=true, Duration=0.602666ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_41, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_21__27332BED7EEB4BCFC645A8495DBDD296BC92845C, StartTime=2015.12.07-16.33.42, HierarchicalDDC, DataSize=36762 bytes, Retrieved=true, Duration=39.345226ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_42, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C418824E4EA51B7ABCD164BCEEBBFBB__02FD0742DF20FAEDB6B6FB9500594A1EDA8BE59C, StartTime=2015.12.07-16.33.42, HierarchicalDDC, DataSize=15253 bytes, Retrieved=true, Duration=0.680018ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_43, CachedDataProbablyExists, Parent=DDCTransactionId2A89C247412736FD9E04418CDE0A798F_42, StartTime=2015.12.07-16.33.42, FileDDCPath=C:/Users/Chris/AppData/Local/UnrealEngine/Common/DerivedDataCache, Duration=0.227574ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_44, GetCachedData, Parent=DDCTransactionId2A89C247412736FD9E04418CDE0A798F_42, StartTime=2015.12.07-16.33.42, FileDDCPath=C:/Users/Chris/AppData/Local/UnrealEngine/Common/DerivedDataCache, Retrieved=true, Duration=0.405975ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
DDCTransactionId2A89C247412736FD9E04418CDE0A798F_45, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_C418824E4EA51B7AB__369545BFB03A089F176AE1871AF20CCFA46A288B, StartTime=2015.12.07-16.33.42, HierarchicalDDC, DataSize=5894 bytes, Retrieved=true, Duration=0.589173ms, RunGuid=RunID67FCBCF840B8B621C6812691705D6CE9
