DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_34, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBufE8B628__D2463D61D1476E7EEAE6007A2B80FAC27F8F1D2A, StartTime=2016.03.04-12.08.33, HierarchicalDDC, DataSize=90308 bytes, Retrieved=true, Duration=0.072859ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_35, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_3A__4F5CE07281C38A268DE45F7FA423F88D7B0AE129, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=65201 bytes, Retrieved=true, Duration=0.061166ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_36, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_61C171EA46E0571C62DF3480217B91D__F4C26B03894151ACF24F74C71F892F72BBAAD999, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=12598 bytes, Retrieved=true, Duration=0.050671ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_37, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_61C171EA46E0571C6__EF9CDC3B6887C3D0D2556BBCF93DC456088AB47A, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.035379ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_38, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_D9__9DF8CCE0ED0B79F38E697746DF45AE6BF69F68C8, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=253937 bytes, Retrieved=true, Duration=0.241663ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_39, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_018CC2044C5CC807DA3B60B8907DBC4__AAD08D1B3C1D13C8BC491943C640F4DAAFF0B040, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=6406 bytes, Retrieved=true, Duration=0.053972ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_40, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_018CC2044C5CC807D__7A3DC7B4FEFB46D3D4261913D0871F84ED6210BF, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.035979ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_41, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBuf13D2B0__21369AD4B482791CFA91EC907F3B1C8C9CE446B7, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=327130 bytes, Retrieved=true, Duration=0.356801ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_42, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBuf13D2B0__3C713CE03050B8DE63132B906732AD536DEDD5EE, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=253865 bytes, Retrieved=true, Duration=0.160113ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_43, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_430_3899__BC5N_DEV_SL_NoDBuf8AE218__351B7B42705D4DD94CDEFA80CAAAF09B822825AC, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=49904 bytes, Retrieved=true, Duration=0.102542ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
DDCTransactionId07BB909B47CC860BA1E18DB022E29FB6_44, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_GLSL_150_3867__BC5N_DEV_SL_NoDBuf8AE218__AF7097677C15E3B7236018FF5599DC2F13A046BD, StartTime=2016.03.04-12.08.34, HierarchicalDDC, DataSize=49661 bytes, Retrieved=true, Duration=0.226073ms, RunGuid=RunID9777854E4F3C10A3899A03BDF080F558
